census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057007002,0.508474576,21.864406768,43.0,2.0,1.058201058201058,3.0,0.9202453987730062,2017
12057007102,0.398305085,5.57627119,14.0,0.0,0.0,0.0,0.0,2017
12057007103,0.5,6.5,13.0,2.0,0.2797202797202797,0.0,0.0,2017
12057010209,0.487922705,16.101449265,33.0,10.0,0.4144218814753419,23.0,0.7618416694269625,2017
12057010210,0.510869565,8.17391304,16.0,1.0,0.3105590062111801,4.0,0.7590132827324478,2017
12057010211,0.4651162789999999,12.093023253999998,26.0,6.0,0.6302521008403361,8.0,0.612088752869166,2017
12057010212,0.416666667,4.583333337000001,11.0,5.0,0.4456327985739751,7.0,0.4781420765027322,2017
12057010213,0.6,8.4,14.0,5.0,1.607717041800643,,,2017
12057010214,0.0,0.0,0.0,,,,,2017
12057010501,0.50989011,46.90989011999999,92.0,9.0,2.18978102189781,9.0,1.0962241169305724,2017
12057010502,0.478527607,18.662576673,39.0,3.0,0.9090909090909092,2.0,0.4319654427645789,2017
12057010809,0.50862069,13.22413794,26.0,0.0,0.0,1.0,0.2754820936639118,2017
12057011710,0.485207101,31.053254464,64.0,4.0,0.6006006006006006,8.0,0.8238928939237898,2017
12057011712,0.520833333,9.374999994,18.0,6.0,0.7712082262210797,2.0,0.1534919416730621,2017
12057011904,0.545945946,19.654054056,36.0,0.0,0.0,,,2017
12057011905,0.552941176,8.847058816,16.0,1.0,0.847457627118644,,,2017
12057011906,0.425454545,17.443636345,41.0,4.0,0.9876543209876544,1.0,0.1497005988023952,2017
12057012107,0.447916667,18.364583347000003,41.0,5.0,0.998003992015968,3.0,0.3164556962025316,2017
12057004800,0.551401869,11.02803738,20.0,6.0,0.9917355371900828,1.0,0.0980392156862745,2017
12057006200,0.476190476,1.904761904,4.0,1.0,0.0928505106778087,1.0,0.0739644970414201,2017
12057006400,0.0,0.0,0.0,5.0,0.5122950819672131,0.0,0.0,2017
12057006600,0.381818182,1.527272728,4.0,4.0,0.6993006993006993,5.0,0.4935834155972359,2017
12057010401,0.5729537370000001,26.355871902000004,46.0,8.0,1.4084507042253522,4.0,0.4509582863585118,2017
12057012504,0.416666667,4.583333337000001,11.0,5.0,0.5399568034557235,10.0,0.8628127696289906,2017
12057013315,0.441340782,49.430167584,112.0,10.0,12.5,1.0,0.6535947712418301,2017
12057013316,0.572519084,30.343511452,53.0,,,0.0,,2017
12057013317,0.439189189,20.641891883,47.0,,,,,2017
12057013318,0.4234234229999999,20.747747727,49.0,2.0,2.247191011235955,2.0,2.247191011235955,2017
12057013319,0.4379562039999999,23.211678812,53.0,3.0,0.2744739249771272,12.0,0.9448818897637796,2017
12057013320,0.5,14.5,29.0,3.0,0.911854103343465,5.0,1.0615711252653928,2017
12057013321,0.489655172,16.158620676,33.0,11.0,0.7976794778825236,9.0,0.5646173149309912,2017
12057013322,0.410828025,23.417197425,57.0,6.0,0.6217616580310881,3.0,0.2243829468960358,2017
12057013410,0.511945392,27.133105776,53.0,8.0,1.0752688172043012,4.0,0.3846153846153846,2017
12057013411,0.56,6.720000000000001,12.0,2.0,0.3508771929824561,2.0,0.2053388090349076,2017
12057013412,0.474576271,7.593220336,16.0,5.0,0.7072135785007072,5.0,0.4694835680751174,2017
12057013413,0.461538462,1.384615386,3.0,2.0,0.198807157057654,2.0,0.1514004542013626,2017
12057013414,0.471698113,7.547169808,16.0,6.0,0.4691164972634871,3.0,0.1565762004175365,2017
